game_date,game_length,game_template,game_version,tournament_id,owner_id,p1_rating,p1_fraction,p1_hero_start,p_1_hero_main,p1_rating_change,p2_id,p2_rating,p2_hero_main,p2_hero_start,p2_fraction,p2_rating_change,game_result
2017-03-01,122,8,1,65,36344,1725,1,2,86,11,11238,1608,117,117,8,-11,2
2017-03-07,145,10,1,73,36344,1736,6,87,87,9,35738,1553,78,6,1,-9,2
2017-03-07,225,8,1,65,36344,1745,8,117,72,9,28330,1579,67,108,7,-9,2
2017-03-09,144,8,1,65,36344,1754,6,87,87,8,35750,1542,72,139,9,-8,2
2017-03-13,133,4,1,64,36344,1762,2,25,9,10,11238,1616,101,17,1,-10,2
2017-03-14,127,8,1,65,36344,1772,9,140,87,12,39835,1666,78,2,1,-12,2
2017-03-16,142,8,1,65,36344,1784,6,87,87,9,20238,1610,81,47,3,-9,2
2017-03-17,117,8,1,65,36344,1793,1,2,67,11,32504,1667,117,117,8,-11,2
2017-03-18,211,8,1,65,36344,1804,2,25,25,7,20238,1569,1,47,3,-7,2
2017-03-19,141,8,1,65,36344,1811,3,47,73,17,30588,1847,56,56,4,-17,2
2017-03-19,145,8,1,65,36344,1828,3,47,25,15,21201,1794,87,89,6,-15,2
2017-03-20,142,8,1,65,36406,1530,8,117,117,29,36344,1843,145,47,3,-29,2
2017-03-21,121,8,1,65,39835,1700,6,89,89,21,36344,1814,111,47,3,-21,2
2017-03-21,121,8,1,65,36344,1793,8,114,76,13,39835,1721,78,2,1,-13,2
2017-03-26,135,8,1,73,36344,1806,1,2,100,3,20804,1479,78,78,5,-3,2
2017-03-28,124,10,1,73,36344,1809,3,47,87,17,30036,1835,66,2,1,-17,2
2017-04-03,132,10,1,73,36344,1826,3,47,25,1,34306,1453,89,89,6,-1,2
2017-04-04,135,4,1,64,36344,1827,2,25,25,16,30036,1819,87,89,6,-16,2
2017-04-05,222,8,1,65,36344,1843,8,114,134,2,31210,1504,23,55,4,-2,2
2017-04-09,125,10,1,73,36344,1845,4,55,78,1,48835,1473,69,108,7,-1,2
